Breed,Age (Years),Weight (kg),Color,Gender,breed_key,rank_recent,rank_mean,rank_missing_share,Gender_bin,size_class,age_bin
Samoyed,9,40,Cream,Female,samoyed,56.0,61.5,0.0,1,large,senior
Havanese,4,6,Black,Female,havanese,24.0,23.75,0.0,1,small,adult
Akita,7,43,Brown,Female,akita,48.0,46.5,0.0,1,large,adult
Saint Bernard,6,25,Black and White,Male,bernard saint,,,,0,large,adult
Boxer,13,50,Brown,Female,boxer,14.0,10.625,0.0,1,giant,senior
Border Collie,8,30,Red,Female,border collie,,,,1,large,senior
Border Collie,4,49,Red,Male,border collie,,,,0,giant,adult
Pomeranian,14,30,Gray,Male,pomeranian,23.0,21.75,0.0,0,large,senior
Siberian Husky,3,10,Tricolor,Female,husky siberian,16.0,13.5,0.0,1,small,adult
Australian Shepherd,9,5,Brown,Female,australian shepherd,12.0,16.0,0.0,1,small,senior
Akita,2,44,Merle,Female,akita,48.0,46.5,0.0,1,large,adult
Border Collie,4,11,Black and White,Female,border collie,,,,1,medium,adult
Chinese Shar-Pei,9,11,Spotted,Female,chinese pei shar,61.0,60.875,0.0,1,medium,senior
Bloodhound,12,44,Black and Tan,Female,bloodhound,46.0,49.375,0.0,1,large,senior
Irish Setter,14,55,Cream,Female,irish setter,75.0,74.625,0.0,1,giant,senior
Pug,4,22,Spotted,Male,pug,29.0,31.0,0.0,0,medium,adult
Jack Russell Terrier,13,16,Tricolor,Male,jack russell terrier,,,,0,medium,senior
Basenji,12,22,Black,Male,basenji,86.0,86.375,0.0,0,medium,senior
Labrador Retriever,6,42,Sable,Male,labrador retriever,1.0,1.0,0.0,0,large,adult
Dachshund,2,35,Spotted,Male,dachshund,10.0,11.625,0.0,0,large,adult
Pembroke Welsh Corgi,3,55,Brown,Female,corgi pembroke welsh,11.0,16.625,0.0,1,giant,adult
Shih Tzu,11,54,Black and Tan,Female,shih tzu,20.0,18.875,0.0,1,giant,senior
Rottweiler,12,14,Cream,Female,rottweiler,8.0,8.5,0.0,1,medium,senior
Cavalier King Charles Spaniel,12,17,Sable,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,medium,senior
Beagle,7,22,Blue,Male,beagle,7.0,5.625,0.0,0,medium,adult
Samoyed,4,41,Tricolor,Female,samoyed,56.0,61.5,0.0,1,large,adult
Dogo Argentino,3,37,Brindle,Female,argentino dogo,93.0,93.0,0.875,1,large,adult
Cavalier King Charles Spaniel,14,8,Tricolor,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,small,senior
Australian Shepherd,6,59,Black,Female,australian shepherd,12.0,16.0,0.0,1,giant,adult
Belgian Malinois,4,17,Tricolor,Female,belgian malinoi,37.0,47.875,0.0,1,medium,adult
Bloodhound,6,58,White,Female,bloodhound,46.0,49.375,0.0,1,giant,adult
Dogo Argentino,13,52,Red,Female,argentino dogo,93.0,93.0,0.875,1,giant,senior
Alaskan Malamute,12,42,Gray,Female,alaskan malamute,65.0,58.875,0.0,1,large,senior
Miniature Schnauzer,2,57,Blue,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,adult
Rottweiler,10,12,Black,Female,rottweiler,8.0,8.5,0.0,1,medium,senior
Great Dane,11,51,Cream,Male,dane great,15.0,15.25,0.0,0,giant,senior
German Shepherd,2,10,White,Male,german shepherd,3.0,2.125,0.0,0,small,adult
Belgian Malinois,11,22,Tan,Female,belgian malinoi,37.0,47.875,0.0,1,medium,senior
Golden Retriever,6,23,Tricolor,Female,golden retriever,4.0,3.125,0.0,1,medium,adult
Whippet,10,23,Black,Female,whippet,59.0,58.875,0.0,1,medium,senior
Great Dane,11,22,Cream,Female,dane great,15.0,15.25,0.0,1,medium,senior
Chihuahua,9,38,Black,Male,chihuahua,34.0,29.75,0.0,0,large,senior
Vizsla,10,15,Spotted,Male,vizsla,35.0,32.625,0.0,0,medium,senior
Bichon Frise,14,54,Gray,Male,bichon frise,45.0,44.125,0.0,0,giant,senior
Weimaraner,4,14,Tan,Male,weimaraner,39.0,35.5,0.0,0,medium,adult
Schnauzer,3,31,Spotted,Female,schnauzer,,,,1,large,adult
Pekingese,3,9,Bicolor,Male,pekingese,95.0,86.375,0.0,0,small,adult
Whippet,5,45,Sable,Female,whippet,59.0,58.875,0.0,1,giant,adult
Irish Setter,8,30,Brindle,Female,irish setter,75.0,74.625,0.0,1,large,senior
Pekingese,9,55,Gray,Female,pekingese,95.0,86.375,0.0,1,giant,senior
Whippet,9,42,Cream,Male,whippet,59.0,58.875,0.0,0,large,senior
Chesapeake Bay Retriever,6,12,Sable,Female,bay chesapeake retriever,50.0,44.125,0.0,1,medium,adult
Siberian Husky,6,38,Black and Tan,Female,husky siberian,16.0,13.5,0.0,1,large,adult
Shiba Inu,4,22,Blue,Female,inu shiba,43.0,44.875,0.0,1,medium,adult
Belgian Malinois,11,52,Sable,Female,belgian malinoi,37.0,47.875,0.0,1,giant,senior
Pug,8,44,Tricolor,Female,pug,29.0,31.0,0.0,1,large,senior
Golden Retriever,7,53,White,Male,golden retriever,4.0,3.125,0.0,0,giant,adult
Yorkshire Terrier,1,22,Brindle,Male,terrier yorkshire,13.0,9.0,0.0,0,medium,puppy
Chinese Shar-Pei,9,43,Brindle,Male,chinese pei shar,61.0,60.875,0.0,0,large,senior
Dachshund,13,13,Red,Female,dachshund,10.0,11.625,0.0,1,medium,senior
Lhasa Apso,6,43,Black and Tan,Male,apso lhasa,78.0,71.375,0.0,0,large,adult
Border Collie,12,28,Spotted,Female,border collie,,,,1,large,senior
Bichon Frise,6,39,Merle,Female,bichon frise,45.0,44.125,0.0,1,large,adult
German Shepherd,4,42,Tricolor,Male,german shepherd,3.0,2.125,0.0,0,large,adult
Labrador Retriever,9,32,Gray,Male,labrador retriever,1.0,1.0,0.0,0,large,senior
Poodle,10,9,Tricolor,Male,poodle,6.0,7.0,0.0,0,small,senior
Maltese,13,7,Gray,Female,maltese,38.0,33.0,0.0,1,small,senior
Akita,10,50,Black and White,Female,akita,48.0,46.5,0.0,1,giant,senior
Australian Shepherd,8,54,Merle,Male,australian shepherd,12.0,16.0,0.0,0,giant,senior
French Bulldog,5,30,Tan,Female,bulldog french,2.0,5.75,0.0,1,large,adult
Irish Setter,8,11,Spotted,Female,irish setter,75.0,74.625,0.0,1,medium,senior
Vizsla,2,15,Tricolor,Female,vizsla,35.0,32.625,0.0,1,medium,adult
Alaskan Malamute,4,24,Blue,Male,alaskan malamute,65.0,58.875,0.0,0,medium,adult
Cocker Spaniel,14,50,Brown,Female,cocker spaniel,30.0,29.375,0.0,1,giant,senior
Maltese,14,20,Red,Male,maltese,38.0,33.0,0.0,0,medium,senior
Beagle,6,25,Spotted,Male,beagle,7.0,5.625,0.0,0,large,adult
Boston Terrier,11,58,Sable,Female,boston terrier,21.0,21.625,0.0,1,giant,senior
Beagle,12,20,Tricolor,Male,beagle,7.0,5.625,0.0,0,medium,senior
Great Dane,9,59,Bicolor,Female,dane great,15.0,15.25,0.0,1,giant,senior
Chinese Shar-Pei,10,40,Tan,Female,chinese pei shar,61.0,60.875,0.0,1,large,senior
Beagle,6,52,Sable,Female,beagle,7.0,5.625,0.0,1,giant,adult
Golden Retriever,9,12,Black,Female,golden retriever,4.0,3.125,0.0,1,medium,senior
Great Dane,8,45,Gray,Male,dane great,15.0,15.25,0.0,0,giant,senior
Great Dane,4,41,Black and Tan,Male,dane great,15.0,15.25,0.0,0,large,adult
Bloodhound,6,54,Cream,Male,bloodhound,46.0,49.375,0.0,0,giant,adult
Vizsla,10,33,Tricolor,Female,vizsla,35.0,32.625,0.0,1,large,senior
Poodle,13,49,Black and White,Male,poodle,6.0,7.0,0.0,0,giant,senior
Samoyed,7,51,Bicolor,Female,samoyed,56.0,61.5,0.0,1,giant,adult
Boxer,11,14,Black,Male,boxer,14.0,10.625,0.0,0,medium,senior
Weimaraner,6,41,Spotted,Female,weimaraner,39.0,35.5,0.0,1,large,adult
Shih Tzu,12,28,Black and White,Male,shih tzu,20.0,18.875,0.0,0,large,senior
Shetland Sheepdog,4,40,Cream,Female,sheepdog shetland,27.0,23.75,0.0,1,large,adult
Schnauzer,3,33,Gray,Male,schnauzer,,,,0,large,adult
Doberman Pinscher,4,23,Red,Female,doberman pinscher,18.0,15.625,0.0,1,medium,adult
Saint Bernard,10,19,White,Male,bernard saint,,,,0,medium,senior
Samoyed,2,44,White,Female,samoyed,56.0,61.5,0.0,1,large,adult
Chinese Shar-Pei,12,25,Merle,Female,chinese pei shar,61.0,60.875,0.0,1,large,senior
Yorkshire Terrier,7,41,Brown,Male,terrier yorkshire,13.0,9.0,0.0,0,large,adult
Bernese Mountain Dog,10,13,White,Female,bernese mountain,22.0,26.5,0.0,1,medium,senior
Shetland Sheepdog,4,53,Cream,Male,sheepdog shetland,27.0,23.75,0.0,0,giant,adult
Samoyed,8,44,Black,Male,samoyed,56.0,61.5,0.0,0,large,senior
Vizsla,8,18,Bicolor,Female,vizsla,35.0,32.625,0.0,1,medium,senior
Pomeranian,6,48,Black,Female,pomeranian,23.0,21.75,0.0,1,giant,adult
Pug,12,45,Gray,Male,pug,29.0,31.0,0.0,0,giant,senior
Bernese Mountain Dog,13,26,Cream,Male,bernese mountain,22.0,26.5,0.0,0,large,senior
Irish Setter,3,52,Black,Female,irish setter,75.0,74.625,0.0,1,giant,adult
Vizsla,2,37,Black,Male,vizsla,35.0,32.625,0.0,0,large,adult
German Shepherd,11,37,Sable,Male,german shepherd,3.0,2.125,0.0,0,large,senior
Poodle,8,35,Brindle,Male,poodle,6.0,7.0,0.0,0,large,senior
Beagle,6,14,Brown,Female,beagle,7.0,5.625,0.0,1,medium,adult
Siberian Husky,13,32,Blue,Female,husky siberian,16.0,13.5,0.0,1,large,senior
Border Collie,1,33,Brown,Male,border collie,,,,0,large,puppy
Dachshund,4,48,Brown,Female,dachshund,10.0,11.625,0.0,1,giant,adult
Chihuahua,8,28,Black and Tan,Male,chihuahua,34.0,29.75,0.0,0,large,senior
Yorkshire Terrier,2,33,Black and White,Male,terrier yorkshire,13.0,9.0,0.0,0,large,adult
Rottweiler,1,7,Black and Tan,Female,rottweiler,8.0,8.5,0.0,1,small,puppy
Samoyed,9,25,Brindle,Male,samoyed,56.0,61.5,0.0,0,large,senior
Poodle,2,27,Black and White,Male,poodle,6.0,7.0,0.0,0,large,adult
Jack Russell Terrier,8,37,Sable,Female,jack russell terrier,,,,1,large,senior
West Highland White Terrier,14,12,Black,Male,highland terrier west white,44.0,41.0,0.0,0,medium,senior
French Bulldog,8,26,Blue,Male,bulldog french,2.0,5.75,0.0,0,large,senior
Dachshund,7,25,Cream,Male,dachshund,10.0,11.625,0.0,0,large,adult
Whippet,1,24,Tricolor,Male,whippet,59.0,58.875,0.0,0,medium,puppy
Bichon Frise,6,30,White,Female,bichon frise,45.0,44.125,0.0,1,large,adult
Bernese Mountain Dog,6,52,Brindle,Male,bernese mountain,22.0,26.5,0.0,0,giant,adult
French Bulldog,7,42,Brown,Female,bulldog french,2.0,5.75,0.0,1,large,adult
Chihuahua,12,29,Tan,Male,chihuahua,34.0,29.75,0.0,0,large,senior
Miniature Schnauzer,6,24,Brown,Male,miniature schnauzer,19.0,17.5,0.0,0,medium,adult
Poodle,14,47,Blue,Female,poodle,6.0,7.0,0.0,1,giant,senior
Bulldog,4,18,Red,Female,bulldog,5.0,4.625,0.0,1,medium,adult
Doberman Pinscher,14,49,White,Female,doberman pinscher,18.0,15.625,0.0,1,giant,senior
Poodle,4,32,Black,Female,poodle,6.0,7.0,0.0,1,large,adult
Cavalier King Charles Spaniel,13,27,Bicolor,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,large,senior
Maltese,9,32,White,Male,maltese,38.0,33.0,0.0,0,large,senior
French Bulldog,4,8,Sable,Male,bulldog french,2.0,5.75,0.0,0,small,adult
Poodle,13,38,Tan,Female,poodle,6.0,7.0,0.0,1,large,senior
Basenji,12,34,Brown,Female,basenji,86.0,86.375,0.0,1,large,senior
Weimaraner,12,26,Spotted,Female,weimaraner,39.0,35.5,0.0,1,large,senior
Rottweiler,10,7,White,Female,rottweiler,8.0,8.5,0.0,1,small,senior
Maltese,12,43,Blue,Female,maltese,38.0,33.0,0.0,1,large,senior
Chesapeake Bay Retriever,4,29,Merle,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,adult
Miniature Schnauzer,12,22,Bicolor,Female,miniature schnauzer,19.0,17.5,0.0,1,medium,senior
Chesapeake Bay Retriever,12,18,Tricolor,Male,bay chesapeake retriever,50.0,44.125,0.0,0,medium,senior
Chihuahua,4,14,White,Male,chihuahua,34.0,29.75,0.0,0,medium,adult
Rottweiler,7,46,Tricolor,Female,rottweiler,8.0,8.5,0.0,1,giant,adult
Rottweiler,11,30,Merle,Female,rottweiler,8.0,8.5,0.0,1,large,senior
Dogo Argentino,11,42,Black and Tan,Female,argentino dogo,93.0,93.0,0.875,1,large,senior
Alaskan Malamute,5,19,Tricolor,Female,alaskan malamute,65.0,58.875,0.0,1,medium,adult
Irish Setter,14,34,Bicolor,Female,irish setter,75.0,74.625,0.0,1,large,senior
Lhasa Apso,13,52,Black,Female,apso lhasa,78.0,71.375,0.0,1,giant,senior
Papillon,13,12,Bicolor,Male,papillon,53.0,49.375,0.0,0,medium,senior
Chesapeake Bay Retriever,3,32,White,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,adult
Doberman Pinscher,6,33,Spotted,Female,doberman pinscher,18.0,15.625,0.0,1,large,adult
Pekingese,13,27,Sable,Female,pekingese,95.0,86.375,0.0,1,large,senior
Siberian Husky,2,9,Red,Female,husky siberian,16.0,13.5,0.0,1,small,adult
Irish Setter,9,8,Blue,Female,irish setter,75.0,74.625,0.0,1,small,senior
Shiba Inu,10,29,Black and Tan,Male,inu shiba,43.0,44.875,0.0,0,large,senior
Akita,9,44,Red,Male,akita,48.0,46.5,0.0,0,large,senior
Chinese Shar-Pei,6,31,Blue,Male,chinese pei shar,61.0,60.875,0.0,0,large,adult
Havanese,9,14,Cream,Female,havanese,24.0,23.75,0.0,1,medium,senior
Bernese Mountain Dog,4,46,Bicolor,Male,bernese mountain,22.0,26.5,0.0,0,giant,adult
Irish Setter,13,57,Brown,Female,irish setter,75.0,74.625,0.0,1,giant,senior
Whippet,1,12,Merle,Male,whippet,59.0,58.875,0.0,0,medium,puppy
Alaskan Malamute,7,25,Spotted,Male,alaskan malamute,65.0,58.875,0.0,0,large,adult
Papillon,4,16,Bicolor,Male,papillon,53.0,49.375,0.0,0,medium,adult
Belgian Malinois,2,11,Black,Female,belgian malinoi,37.0,47.875,0.0,1,medium,adult
Irish Setter,12,33,White,Female,irish setter,75.0,74.625,0.0,1,large,senior
Labrador Retriever,8,50,Gray,Male,labrador retriever,1.0,1.0,0.0,0,giant,senior
Siberian Husky,9,7,Tan,Male,husky siberian,16.0,13.5,0.0,0,small,senior
Boxer,4,44,Sable,Male,boxer,14.0,10.625,0.0,0,large,adult
Miniature Schnauzer,8,32,Tan,Male,miniature schnauzer,19.0,17.5,0.0,0,large,senior
Bulldog,12,36,Black and Tan,Female,bulldog,5.0,4.625,0.0,1,large,senior
Rottweiler,7,40,Brindle,Male,rottweiler,8.0,8.5,0.0,0,large,adult
French Bulldog,8,17,Black and White,Male,bulldog french,2.0,5.75,0.0,0,medium,senior
Lhasa Apso,10,5,Black and White,Female,apso lhasa,78.0,71.375,0.0,1,small,senior
Siberian Husky,7,28,Black,Male,husky siberian,16.0,13.5,0.0,0,large,adult
Vizsla,10,10,Black,Female,vizsla,35.0,32.625,0.0,1,small,senior
Papillon,14,5,Black and White,Male,papillon,53.0,49.375,0.0,0,small,senior
Samoyed,7,40,Spotted,Male,samoyed,56.0,61.5,0.0,0,large,adult
Lhasa Apso,8,15,Black and Tan,Male,apso lhasa,78.0,71.375,0.0,0,medium,senior
Samoyed,9,34,Cream,Female,samoyed,56.0,61.5,0.0,1,large,senior
Miniature Schnauzer,14,22,Brown,Male,miniature schnauzer,19.0,17.5,0.0,0,medium,senior
Chinese Shar-Pei,6,53,Tan,Female,chinese pei shar,61.0,60.875,0.0,1,giant,adult
Rottweiler,7,45,Bicolor,Female,rottweiler,8.0,8.5,0.0,1,giant,adult
Rottweiler,4,23,Sable,Female,rottweiler,8.0,8.5,0.0,1,medium,adult
Border Collie,8,57,Cream,Female,border collie,,,,1,giant,senior
Rottweiler,3,52,Merle,Male,rottweiler,8.0,8.5,0.0,0,giant,adult
Irish Setter,12,15,White,Female,irish setter,75.0,74.625,0.0,1,medium,senior
Pekingese,8,24,Black and White,Male,pekingese,95.0,86.375,0.0,0,medium,senior
French Bulldog,9,42,Tan,Male,bulldog french,2.0,5.75,0.0,0,large,senior
Dachshund,3,18,Gray,Male,dachshund,10.0,11.625,0.0,0,medium,adult
Boston Terrier,14,8,Spotted,Male,boston terrier,21.0,21.625,0.0,0,small,senior
West Highland White Terrier,4,41,Sable,Male,highland terrier west white,44.0,41.0,0.0,0,large,adult
German Shepherd,2,8,Bicolor,Male,german shepherd,3.0,2.125,0.0,0,small,adult
Boston Terrier,9,40,Bicolor,Female,boston terrier,21.0,21.625,0.0,1,large,senior
Pug,12,12,Black and White,Female,pug,29.0,31.0,0.0,1,medium,senior
West Highland White Terrier,2,59,Merle,Male,highland terrier west white,44.0,41.0,0.0,0,giant,adult
Whippet,1,15,Spotted,Female,whippet,59.0,58.875,0.0,1,medium,puppy
Great Dane,11,25,Black and White,Female,dane great,15.0,15.25,0.0,1,large,senior
Border Collie,11,33,Gray,Male,border collie,,,,0,large,senior
Havanese,1,13,Sable,Female,havanese,24.0,23.75,0.0,1,medium,puppy
Papillon,6,13,Brindle,Male,papillon,53.0,49.375,0.0,0,medium,adult
Lhasa Apso,2,22,Brindle,Female,apso lhasa,78.0,71.375,0.0,1,medium,adult
Golden Retriever,11,22,Bicolor,Female,golden retriever,4.0,3.125,0.0,1,medium,senior
Bloodhound,6,10,Cream,Female,bloodhound,46.0,49.375,0.0,1,small,adult
Boxer,1,36,Red,Female,boxer,14.0,10.625,0.0,1,large,puppy
Golden Retriever,4,34,Tan,Male,golden retriever,4.0,3.125,0.0,0,large,adult
Papillon,9,21,Cream,Female,papillon,53.0,49.375,0.0,1,medium,senior
Airedale Terrier,1,57,Bicolor,Male,airedale terrier,62.0,57.375,0.0,0,giant,puppy
Belgian Malinois,9,27,Merle,Female,belgian malinoi,37.0,47.875,0.0,1,large,senior
Bernese Mountain Dog,10,40,Spotted,Male,bernese mountain,22.0,26.5,0.0,0,large,senior
Dogo Argentino,5,55,Gray,Male,argentino dogo,93.0,93.0,0.875,0,giant,adult
Weimaraner,14,40,Cream,Male,weimaraner,39.0,35.5,0.0,0,large,senior
Border Collie,7,21,Gray,Female,border collie,,,,1,medium,adult
Bulldog,12,58,Cream,Female,bulldog,5.0,4.625,0.0,1,giant,senior
Belgian Malinois,10,32,Black and White,Female,belgian malinoi,37.0,47.875,0.0,1,large,senior
Dachshund,1,37,Merle,Male,dachshund,10.0,11.625,0.0,0,large,puppy
Siberian Husky,12,52,Gray,Female,husky siberian,16.0,13.5,0.0,1,giant,senior
Basenji,2,7,Black,Male,basenji,86.0,86.375,0.0,0,small,adult
Chesapeake Bay Retriever,8,16,Black,Male,bay chesapeake retriever,50.0,44.125,0.0,0,medium,senior
Vizsla,3,23,Sable,Male,vizsla,35.0,32.625,0.0,0,medium,adult
Bull Terrier,7,29,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,large,adult
Shiba Inu,4,29,Black and White,Female,inu shiba,43.0,44.875,0.0,1,large,adult
Chesapeake Bay Retriever,14,5,Black and White,Male,bay chesapeake retriever,50.0,44.125,0.0,0,small,senior
Border Collie,5,50,Tan,Male,border collie,,,,0,giant,adult
Saint Bernard,5,13,Cream,Male,bernard saint,,,,0,medium,adult
Bernese Mountain Dog,12,28,Gray,Male,bernese mountain,22.0,26.5,0.0,0,large,senior
Whippet,12,6,White,Female,whippet,59.0,58.875,0.0,1,small,senior
Maltese,6,34,Red,Female,maltese,38.0,33.0,0.0,1,large,adult
Miniature Schnauzer,1,52,Brown,Female,miniature schnauzer,19.0,17.5,0.0,1,giant,puppy
Boston Terrier,1,43,Spotted,Male,boston terrier,21.0,21.625,0.0,0,large,puppy
Cavalier King Charles Spaniel,14,43,Tan,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,large,senior
Great Dane,9,49,Black,Male,dane great,15.0,15.25,0.0,0,giant,senior
Yorkshire Terrier,12,55,Black and White,Female,terrier yorkshire,13.0,9.0,0.0,1,giant,senior
Miniature Schnauzer,7,55,Tricolor,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,adult
Bernese Mountain Dog,13,22,Brindle,Female,bernese mountain,22.0,26.5,0.0,1,medium,senior
Maltese,7,24,Black and Tan,Male,maltese,38.0,33.0,0.0,0,medium,adult
Bull Terrier,11,30,Red,Female,bull terrier,64.0,58.125,0.0,1,large,senior
West Highland White Terrier,5,10,Gray,Female,highland terrier west white,44.0,41.0,0.0,1,small,adult
Great Dane,9,51,Black and White,Female,dane great,15.0,15.25,0.0,1,giant,senior
Maltese,10,26,Brown,Male,maltese,38.0,33.0,0.0,0,large,senior
Miniature Schnauzer,13,39,Sable,Male,miniature schnauzer,19.0,17.5,0.0,0,large,senior
French Bulldog,1,38,Gray,Female,bulldog french,2.0,5.75,0.0,1,large,puppy
Airedale Terrier,8,43,Red,Male,airedale terrier,62.0,57.375,0.0,0,large,senior
Cocker Spaniel,6,55,White,Male,cocker spaniel,30.0,29.375,0.0,0,giant,adult
Samoyed,7,32,Tan,Female,samoyed,56.0,61.5,0.0,1,large,adult
Labrador Retriever,4,46,Black,Male,labrador retriever,1.0,1.0,0.0,0,giant,adult
Dachshund,14,42,Bicolor,Male,dachshund,10.0,11.625,0.0,0,large,senior
French Bulldog,11,54,Gray,Male,bulldog french,2.0,5.75,0.0,0,giant,senior
Beagle,10,9,Red,Female,beagle,7.0,5.625,0.0,1,small,senior
Bichon Frise,13,24,Red,Female,bichon frise,45.0,44.125,0.0,1,medium,senior
Saint Bernard,1,56,Black and Tan,Female,bernard saint,,,,1,giant,puppy
Beagle,5,38,Black and Tan,Male,beagle,7.0,5.625,0.0,0,large,adult
Cocker Spaniel,3,26,Spotted,Male,cocker spaniel,30.0,29.375,0.0,0,large,adult
Akita,2,9,Black and White,Female,akita,48.0,46.5,0.0,1,small,adult
Whippet,13,56,Brown,Female,whippet,59.0,58.875,0.0,1,giant,senior
Whippet,11,30,Cream,Female,whippet,59.0,58.875,0.0,1,large,senior
Bloodhound,8,56,Tricolor,Female,bloodhound,46.0,49.375,0.0,1,giant,senior
Boston Terrier,2,12,Tan,Male,boston terrier,21.0,21.625,0.0,0,medium,adult
Alaskan Malamute,13,41,Brindle,Male,alaskan malamute,65.0,58.875,0.0,0,large,senior
Labrador Retriever,1,56,Blue,Female,labrador retriever,1.0,1.0,0.0,1,giant,puppy
Weimaraner,3,36,Tricolor,Female,weimaraner,39.0,35.5,0.0,1,large,adult
Samoyed,8,52,Black and White,Female,samoyed,56.0,61.5,0.0,1,giant,senior
Belgian Malinois,9,7,Black and White,Male,belgian malinoi,37.0,47.875,0.0,0,small,senior
Golden Retriever,11,30,Brown,Male,golden retriever,4.0,3.125,0.0,0,large,senior
Chesapeake Bay Retriever,9,17,Bicolor,Male,bay chesapeake retriever,50.0,44.125,0.0,0,medium,senior
Siberian Husky,14,57,Tricolor,Female,husky siberian,16.0,13.5,0.0,1,giant,senior
Australian Shepherd,1,10,Sable,Male,australian shepherd,12.0,16.0,0.0,0,small,puppy
Chesapeake Bay Retriever,7,40,Tan,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,adult
Havanese,6,35,Black,Male,havanese,24.0,23.75,0.0,0,large,adult
Siberian Husky,5,57,Spotted,Male,husky siberian,16.0,13.5,0.0,0,giant,adult
Poodle,8,57,Spotted,Female,poodle,6.0,7.0,0.0,1,giant,senior
Bloodhound,5,14,Brindle,Female,bloodhound,46.0,49.375,0.0,1,medium,adult
German Shepherd,1,54,Black and Tan,Male,german shepherd,3.0,2.125,0.0,0,giant,puppy
Dachshund,7,56,Black,Female,dachshund,10.0,11.625,0.0,1,giant,adult
Beagle,11,22,Gray,Female,beagle,7.0,5.625,0.0,1,medium,senior
Beagle,5,34,Tan,Female,beagle,7.0,5.625,0.0,1,large,adult
Bloodhound,7,16,Blue,Male,bloodhound,46.0,49.375,0.0,0,medium,adult
Bloodhound,5,39,Merle,Male,bloodhound,46.0,49.375,0.0,0,large,adult
Pembroke Welsh Corgi,1,48,Red,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,puppy
Whippet,3,48,Black,Female,whippet,59.0,58.875,0.0,1,giant,adult
Shetland Sheepdog,9,38,Tan,Male,sheepdog shetland,27.0,23.75,0.0,0,large,senior
Whippet,12,33,Bicolor,Female,whippet,59.0,58.875,0.0,1,large,senior
Whippet,8,27,Black and Tan,Female,whippet,59.0,58.875,0.0,1,large,senior
Chinese Shar-Pei,9,30,Merle,Male,chinese pei shar,61.0,60.875,0.0,0,large,senior
Golden Retriever,11,32,White,Female,golden retriever,4.0,3.125,0.0,1,large,senior
Siberian Husky,7,22,Brindle,Male,husky siberian,16.0,13.5,0.0,0,medium,adult
Pekingese,5,38,White,Female,pekingese,95.0,86.375,0.0,1,large,adult
Boxer,5,38,Cream,Male,boxer,14.0,10.625,0.0,0,large,adult
Chinese Shar-Pei,10,57,Sable,Female,chinese pei shar,61.0,60.875,0.0,1,giant,senior
Yorkshire Terrier,9,30,Tricolor,Female,terrier yorkshire,13.0,9.0,0.0,1,large,senior
Poodle,5,25,Brindle,Female,poodle,6.0,7.0,0.0,1,large,adult
Papillon,12,12,Blue,Male,papillon,53.0,49.375,0.0,0,medium,senior
Dogo Argentino,13,5,Black and White,Male,argentino dogo,93.0,93.0,0.875,0,small,senior
Alaskan Malamute,6,17,Brindle,Female,alaskan malamute,65.0,58.875,0.0,1,medium,adult
German Shepherd,14,54,Tricolor,Male,german shepherd,3.0,2.125,0.0,0,giant,senior
Alaskan Malamute,4,12,Black and White,Female,alaskan malamute,65.0,58.875,0.0,1,medium,adult
Australian Shepherd,5,49,Red,Female,australian shepherd,12.0,16.0,0.0,1,giant,adult
Siberian Husky,13,28,Brown,Male,husky siberian,16.0,13.5,0.0,0,large,senior
Jack Russell Terrier,11,43,Tricolor,Male,jack russell terrier,,,,0,large,senior
Siberian Husky,13,7,Sable,Male,husky siberian,16.0,13.5,0.0,0,small,senior
Shetland Sheepdog,12,14,Sable,Female,sheepdog shetland,27.0,23.75,0.0,1,medium,senior
Miniature Schnauzer,3,35,Brindle,Female,miniature schnauzer,19.0,17.5,0.0,1,large,adult
Bernese Mountain Dog,13,55,Sable,Male,bernese mountain,22.0,26.5,0.0,0,giant,senior
Shih Tzu,3,31,Spotted,Female,shih tzu,20.0,18.875,0.0,1,large,adult
Cavalier King Charles Spaniel,14,17,Black and Tan,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,medium,senior
Great Dane,8,23,Tricolor,Male,dane great,15.0,15.25,0.0,0,medium,senior
Airedale Terrier,14,44,Sable,Male,airedale terrier,62.0,57.375,0.0,0,large,senior
Belgian Malinois,13,54,Brown,Female,belgian malinoi,37.0,47.875,0.0,1,giant,senior
Shetland Sheepdog,10,34,Merle,Female,sheepdog shetland,27.0,23.75,0.0,1,large,senior
Beagle,6,51,Red,Female,beagle,7.0,5.625,0.0,1,giant,adult
Weimaraner,3,43,Black and White,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Lhasa Apso,12,11,Black,Female,apso lhasa,78.0,71.375,0.0,1,medium,senior
Basenji,2,7,Black and Tan,Female,basenji,86.0,86.375,0.0,1,small,adult
Border Collie,5,54,Black and White,Female,border collie,,,,1,giant,adult
