Breed,Age,Weight,Gender,Color,Coat Length,Coat Type,Energy Level,Playfulness Level,is_brachycephalic,size_category,Spayed/Neutered,Indoor/Outdoor,Season,Sun Exposure,Wind Cooling Effect,Station_Temp,Station_Humidity,Ambient_Temp,Ambient_Humidity,T_device,H_device,breed_wt_mu,breed_wt_sd,ideal_weight,pct_of_ideal,BCS_cont,BCS,Temp_Diff,Hum_Diff,CBT_simulated,is_old,is_overweight,heat_stress_risk,High_humidity_fordogs,prior_heat_related_injury_est,simulated_heat_injury_flag,target2Category,target3Category
Pembroke Welsh Corgi,3.6,35.3,Male,Blue,Short,Double,4.0,4.0,0.0,Large,1,Outdoor_Now,Fall,1.8000087827791331,0.053069203950735666,14.870386938872958,78.19836602998743,14.87,78.2,21.45,87.73,34.47761194029851,14.676675175623544,40.149523358492026,0.879213426391367,4.5168537055654685,5,6.58,9.53,38.1353555876148,0,0,0,1,0.002,0,0,Normal
Australian Shepherd,7.4,7.8,Female,Tricolor,Medium,Double,5.0,4.0,0.0,Small,1,Indoor_Now,Fall,0.0,0.0,35.13415924517831,55.86025761745512,24.63,47.17,28.06,56.45,33.35294117647059,16.359490859329046,15.038706112827956,0.5186616415987164,3.0746465663948657,3,3.43,9.28,39.06181016636626,0,0,0,0,0.0,0,0,Normal
Cavalier King Charles Spaniel,10.0,27.2,Female,White,Medium,Wavy,3.0,3.0,1.0,Large,1,Indoor_Now,Fall,0.0,0.0,30.832439170342884,84.54396443431077,23.77,52.91,26.71,59.12,30.234375,15.476292353144535,21.536599503185542,1.262966328364734,6.051865313458936,6,2.94,6.21,38.98920048124403,0,0,1,0,0.072,0,0,Normal
Poodle,4.8,32.4,Female,Bicolor,Long,Curly,4.0,5.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,30.960707378817233,67.72176381436397,23.79,49.54,28.02,58.28,33.540983606557376,15.44730156639211,37.399478479310844,0.8663222407746535,4.4652889630986135,4,4.23,8.74,39.047949785999336,0,0,0,0,0.002,0,0,Normal
Yorkshire Terrier,12.7,58.5,Female,Red,Long,Silky,4.0,4.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,18.716202723477313,63.070982712136484,21.34,48.61,25.05,57.87,29.471698113207548,14.228362484278883,34.5205215121568,1.694644154764538,7.778576619058152,8,3.71,9.26,38.87071910172081,1,1,1,0,0.052000000000000005,0,0,Normal
Pekingese,10.1,33.3,Female,Black,Long,Double,3.0,4.0,1.0,Large,1,Indoor_Now,Fall,0.0,0.0,24.707387972003094,85.1072641548741,22.54,53.02,26.88,61.2,33.30882352941177,16.229011568968296,41.309921607220595,0.8061017475806457,4.224406990322583,4,4.34,8.18,40.08285610062309,0,0,1,1,0.052000000000000005,0,1,Heat Stress
Samoyed,9.2,53.0,Female,Spotted,Long,Double,4.0,5.0,0.0,Giant,1,Indoor_Now,Summer,0.0,0.0,33.196629691768926,77.95667897525281,24.24,51.59,28.47,59.95,33.017857142857146,13.828154509653745,42.72134133825231,1.2405977513759445,5.962391005503778,6,4.23,8.36,39.94067139171612,0,0,0,0,0.022,0,1,Heat Stress
Doberman Pinscher,7.5,31.4,Female,Sable,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,26.762523240437357,52.851098091191844,22.95,46.57,25.16,48.7,30.075757575757574,16.58573122254428,49.63890453422852,0.6325683512686731,3.5302734050746922,4,2.21,2.13,38.95437823471746,0,0,0,0,0.002,0,0,Normal
Doberman Pinscher,7.5,31.4,Female,Sable,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,31.241184181188313,92.1997694714433,23.85,54.44,25.91,55.53,30.075757575757574,16.58573122254428,31.383226277682493,1.0005344804950609,5.0021379219802435,5,2.06,1.09,38.94338055458399,0,0,0,0,0.002,0,0,Normal
Akita,5.4,27.2,Male,Red,Medium,Double,4.0,3.0,0.0,Large,1,Outdoor_Now,Summer,3.0120632908762563,-0.15165495978023616,29.601953393114584,76.8962516856621,29.6,76.9,38.26,88.45,31.686274509803923,14.360348458276954,49.59914333601505,0.5483965683788226,3.1935862735152902,3,8.66,11.55,39.933237552663805,0,0,0,1,0.0,0,1,Heat Stress
Poodle,11.9,41.6,Male,White,Long,Curly,4.0,5.0,0.0,Large,0,Indoor_Now,Spring,0.0,0.0,35.26410468296166,69.61157285850723,24.65,49.92,28.78,60.17,33.540983606557376,15.44730156639211,52.969453037231034,0.7853583077544769,4.141433231017908,4,4.13,10.25,39.423544446442776,0,0,0,1,0.0,0,0,Normal
Airedale Terrier,11.2,11.0,Male,Tricolor,Short,Wiry,3.0,3.0,0.0,Medium,1,Indoor_Now,Summer,0.0,0.0,31.181995647623168,79.87107528533076,23.84,51.97,26.0,53.95,31.818181818181817,13.997474519687218,30.35638328885514,0.3623620078627243,2.4494480314508973,2,2.16,1.98,39.43925979958762,0,0,0,0,0.0,0,0,Normal
Akita,8.7,22.0,Male,Merle,Medium,Double,4.0,3.0,0.0,Medium,1,Indoor_Now,Summer,0.0,0.0,33.59945323974834,100.0,24.32,56.0,27.25,61.73,31.686274509803923,14.360348458276954,42.93127278661433,0.5124469546791411,3.0497878187165646,3,2.93,5.73,39.38672050987382,0,0,0,1,0.0,0,0,Normal
Lhasa Apso,11.6,23.8,Male,Brown,Long,Silky,3.0,3.0,0.0,Medium,0,Indoor_Now,Spring,0.0,0.0,17.743057784515358,85.65770496053632,21.15,53.13,24.67,59.41,29.946428571428573,15.75080909074156,30.809623304949703,0.772485913392405,4.08994365356962,4,3.52,6.28,38.582940535569946,0,0,0,0,0.0,0,0,Normal
Dogo Argentino,8.8,34.1,Male,Black and Tan,Short,Smooth,5.0,4.0,0.0,Large,0,Indoor_Now,Winter,0.0,0.0,12.79660673509591,74.44783357019463,20.16,50.89,22.73,54.87,33.67272727272727,15.511112558247163,30.93389108828462,1.1023508133095632,5.409403253238253,5,2.57,3.98,38.527893803273564,0,0,0,0,0.0,0,0,Normal
Vizsla,5.0,18.8,Male,White,Short,Smooth,5.0,5.0,0.0,Medium,1,Indoor_Now,Winter,0.0,0.0,25.660602094305098,69.7509437546425,22.73,49.95,25.1,53.35,29.96875,15.145819005036781,16.906069765264135,1.1120266425628509,5.4481065702514035,5,2.37,3.4,37.93695017199463,0,0,0,0,0.002,0,0,Normal
Doberman Pinscher,11.1,18.2,Female,Tan,Short,Smooth,5.0,4.0,0.0,Medium,0,Indoor_Now,Fall,0.0,0.0,33.968694783312564,75.5589948412343,24.39,51.11,26.45,55.77,30.075757575757574,16.58573122254428,18.05634804143479,1.0079557592839683,5.031823037135873,5,2.06,4.66,39.788603681785446,0,0,0,0,0.0,0,0,Normal
Doberman Pinscher,11.1,18.2,Female,Tan,Short,Smooth,5.0,4.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,29.333832966868123,90.11961180773898,23.47,54.02,25.83,58.04,30.075757575757574,16.58573122254428,35.067798595418836,0.5189946540407472,3.0759786161629887,3,2.36,4.02,38.80832318391644,0,0,0,0,0.0,0,0,Normal
Pug,7.1,7.2,Female,Bicolor,Short,Smooth,3.0,5.0,1.0,Small,1,Indoor_Now,Summer,0.0,0.0,30.684512952865525,69.65162100497146,23.74,49.93,25.9,52.55,33.6,17.300469646804387,33.63462215356869,0.2140651370223901,1.8562605480895602,2,2.16,2.62,38.69099203963686,0,0,1,0,0.042,0,0,Normal
Chesapeake Bay Retriever,11.8,14.2,Female,Gray,Medium,Wiry,4.0,3.0,0.0,Medium,1,Indoor_Now,Summer,0.0,0.0,33.539591024077,81.66397775036326,24.31,52.33,26.98,55.12,28.192307692307693,15.003317883432057,39.77505828263102,0.35700764783544914,2.4280305913417966,2,2.67,2.79,38.8948473938537,0,0,0,0,0.0,0,0,Normal
Beagle,6.7,43.7,Male,Tricolor,Short,Smooth,4.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,20.41964637415745,64.22987259939755,21.68,48.85,23.81,52.61,32.50909090909091,15.570476249611975,29.30763120783687,1.4910792240457362,6.964316896182945,7,2.13,3.76,38.88715212408632,0,1,1,0,0.022,0,0,Normal
Weimaraner,8.5,39.3,Female,Black,Short,Smooth,5.0,5.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,40.03144245868142,59.655058144097296,25.61,47.93,28.25,54.22,29.863636363636363,14.363293348121658,58.41947946520774,0.6727208177780063,3.690883271112025,4,2.64,6.29,39.40751980770615,0,0,0,0,0.002,0,0,Normal
Pomeranian,3.6,45.9,Male,Tricolor,Long,Double,3.0,3.0,0.0,Giant,1,Outdoor_Now,Spring,3.228786119915024,-0.3420817800483424,19.734654381892483,81.1343443570492,19.73,81.13,29.12,93.5,32.25,14.363813871537397,32.47843349496016,1.4132455004987396,6.652982001994959,7,9.39,12.37,39.5060847746972,0,1,1,1,0.022,0,0,Normal
Bulldog,0.7,44.9,Male,Bicolor,Short,Smooth,3.0,4.0,1.0,Large,1,Indoor_Now,Spring,0.0,0.0,34.21931387432732,58.09538338548214,24.44,47.62,26.61,48.4,34.6,14.820656255775308,36.41294293139103,1.2330780317482224,5.93231212699289,6,2.17,0.78,38.665607861272996,0,0,1,0,0.072,0,0,Normal
French Bulldog,10.7,51.5,Male,Cream,Short,Smooth,3.0,5.0,1.0,Giant,0,Indoor_Now,Summer,0.0,0.0,32.32980183874599,73.98703377748171,24.07,50.8,26.22,51.88,28.957142857142856,15.170944497156986,51.60372537267726,0.9979899634778658,4.991959853911464,5,2.15,1.08,39.10166352303253,0,0,1,0,0.042,0,0,Normal
Bull Terrier,4.4,31.1,Female,Red,Short,Smooth,4.0,4.0,1.0,Large,1,Indoor_Now,Winter,0.0,0.0,25.97488635856009,73.76785531011006,22.79,50.75,25.24,55.6,34.163636363636364,16.000883813973616,34.67572389492503,0.8968810599092251,4.587524239636901,5,2.45,4.85,39.011365768946916,0,0,1,0,0.052000000000000005,0,0,Normal
Airedale Terrier,2.1,28.4,Male,Merle,Short,Wiry,3.0,3.0,0.0,Large,0,Indoor_Now,Winter,0.0,0.0,10.60201099658834,59.98176063385533,19.72,48.0,22.03,50.87,31.818181818181817,13.997474519687218,36.34923703204131,0.7813093841547712,4.125237536619085,4,2.31,2.87,38.99815364248447,0,0,0,0,0.0,0,0,Normal
Bull Terrier,7.0,37.3,Female,Black and Tan,Short,Smooth,4.0,4.0,1.0,Large,1,Indoor_Now,Fall,0.0,0.0,32.66352946510333,73.57734806677028,24.13,50.72,26.6,53.44,34.163636363636364,16.000883813973616,29.61475930733019,1.2595071130889648,6.038028452355859,6,2.47,2.72,39.56508116306579,0,0,1,0,0.072,0,0,Normal
Rottweiler,9.5,29.9,Male,Brindle,Short,Smooth,3.0,4.0,0.0,Large,1,Indoor_Now,Spring,0.0,0.0,21.386460754152637,65.0400922204133,21.88,49.01,24.2,52.13,30.728813559322035,15.845224154137336,27.32335274282912,1.0943020163529202,5.377208065411681,5,2.32,3.12,39.00177787618524,0,0,0,0,0.002,0,0,Normal
Great Dane,7.9,66.8,Male,Blue,Short,Smooth,4.0,4.0,0.0,Giant,1,Indoor_Now,Fall,0.0,0.0,31.77529897308228,73.00941929913552,23.96,50.6,26.24,52.27,32.574074074074076,15.574049353890862,12.385481329584007,5.393411707015477,22.573646828061907,9,2.28,1.67,38.28913616218022,0,1,1,0,0.052000000000000005,0,0,Normal
Pomeranian,6.1,20.0,Male,Brown,Long,Double,3.0,3.0,0.0,Medium,0,Indoor_Now,Winter,0.0,0.0,16.43113230399438,66.16066535015513,20.89,49.23,24.42,56.53,32.25,14.363813871537397,54.459960362629715,0.3672422797744809,2.4689691190979235,2,3.53,7.3,39.67110003341149,0,0,0,0,0.0,0,0,Normal
Rottweiler,8.6,22.9,Male,Black,Short,Smooth,3.0,4.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,30.135000750287535,85.09330962535964,23.63,53.02,25.88,56.29,30.728813559322035,15.845224154137336,5.274441739297021,4.341691714856654,18.366766859426615,9,2.25,3.27,38.959725737344236,0,1,1,0,0.052000000000000005,0,0,Normal
Dogo Argentino,1.9,35.2,Male,Black and Tan,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Spring,0.0,0.0,25.124281747625094,85.43563091429127,22.62,53.09,24.94,56.79,33.67272727272727,15.511112558247163,7.4201011245806185,4.743870657421733,19.975482629686933,9,2.32,3.7,38.29080982339519,0,1,1,0,0.052000000000000005,0,0,Normal
Beagle,3.4,23.0,Female,Spotted,Short,Smooth,4.0,4.0,0.0,Medium,1,Indoor_Now,Summer,0.0,0.0,22.488494209815272,84.27655385985035,22.1,52.86,24.61,56.74,32.50909090909091,15.570476249611975,49.685012469545725,0.46291625697181377,2.851665027887255,3,2.51,3.88,38.80384767310517,0,0,0,0,0.0,0,0,Normal
Basenji,7.5,71.6,Female,Cream,Short,Smooth,4.0,3.0,0.0,Giant,1,Indoor_Now,Spring,0.0,0.0,31.09374808865251,53.727385631505015,23.82,46.75,26.06,48.06,31.93877551020408,17.33662808822372,40.37711746886576,1.7732816131614588,8.093126452645835,8,2.24,1.31,38.905333003333915,0,1,1,0,0.052000000000000005,0,0,Normal
Chinese Shar-Pei,-3.0,38.3,Female,Tan,Short,Smooth,3.0,3.0,0.0,Large,1,Indoor_Now,Spring,0.0,0.0,27.886446105306735,69.51997352645164,23.18,49.9,25.2,53.0,38.234375,14.039334976675413,44.640791109219904,0.8579597056488923,4.431838822595569,4,2.02,3.1,38.26709665754375,0,0,0,0,0.002,0,0,Normal
Rottweiler,5.7,61.7,Female,Brindle,Short,Smooth,3.0,4.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,23.342663318744624,58.90086773977945,22.27,47.78,24.3,53.32,30.728813559322035,15.845224154137336,52.41687049915841,1.1771019408911612,5.708407763564645,6,2.03,5.54,38.58476363813372,0,0,0,0,0.022,0,0,Normal
Maltese,11.0,29.5,Male,Brindle,Long,Silky,3.0,3.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,33.60634144158553,80.95700444218694,24.32,52.19,27.94,56.68,31.346153846153847,13.70542273583796,17.82825147998968,1.6546771304583971,7.618708521833589,8,3.62,4.49,39.63619716790254,0,1,1,0,0.052000000000000005,0,0,Normal
Saint Bernard,3.4,-3.6,Male,Blue,Short,Smooth,3.0,3.0,0.0,Toy,0,Indoor_Now,Winter,0.0,0.0,15.574914254383623,53.98327683763469,20.71,46.8,22.63,50.76,34.2962962962963,14.315356090088146,31.234115538779342,-0.11525858625740011,0.5389656549703998,1,1.92,3.96,38.143250898423524,0,0,0,0,0.0,0,0,Normal
Labrador Retriever,9.1,36.1,Female,Black,Short,Double,5.0,5.0,0.0,Large,1,Outdoor_Now,Summer,4.087888001761665,-0.534629936842966,35.48218887080205,76.98668493467477,35.48,76.99,45.98,92.52,31.923076923076923,15.760270419007453,37.945018897875805,0.9513765191989643,4.805506076795857,5,10.5,15.53,39.935446211016064,0,0,0,1,0.002,0,1,Heat Stress
Pembroke Welsh Corgi,9.5,31.5,Female,Black and Tan,Short,Double,4.0,4.0,0.0,Large,0,Indoor_Now,Spring,0.0,0.0,22.290562402164543,84.81349808020182,22.06,52.96,24.95,58.22,34.47761194029851,14.676675175623544,57.46831140363663,0.5481281636892964,3.1925126547571856,3,2.89,5.26,39.87557780180055,0,0,0,0,0.0,0,1,Heat Stress
French Bulldog,2.5,29.3,Male,Black,Short,Smooth,3.0,5.0,1.0,Large,1,Outdoor_Now,Winter,2.1846973067510063,-0.48805569883108946,16.139721621477605,60.32909352511817,16.14,60.33,22.36,67.62,28.957142857142856,15.170944497156986,14.481464298107984,2.0232760580591336,9.093104232236534,9,6.22,7.29,38.38475068572978,0,1,1,1,0.102,0,0,Normal
Poodle,2.3,42.8,Female,Black and White,Long,Curly,4.0,5.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,24.016438449781745,68.77368246040662,22.4,49.75,26.95,59.28,33.540983606557376,15.44730156639211,28.436178532066325,1.5051248870074498,7.020499548029799,7,4.55,9.53,39.042353841604466,0,1,1,0,0.022,0,0,Normal
Vizsla,7.4,23.1,Male,Black and White,Short,Smooth,5.0,5.0,0.0,Medium,1,Indoor_Now,Spring,0.0,0.0,20.414675516435164,60.83905990432294,21.68,48.17,24.04,51.52,29.96875,15.145819005036781,23.716999074825992,0.973984943336238,4.895939773344952,5,2.36,3.35,38.832323155277095,0,0,0,0,0.002,0,0,Normal
Golden Retriever,6.1,18.1,Male,White,Medium,Double,3.0,4.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,16.84992652059578,52.16139009631611,20.97,46.43,24.0,51.85,35.45454545454545,16.512792145477587,58.71882807240172,0.30824865880637586,2.2329946352255035,2,3.03,5.42,38.96664091888395,0,0,0,0,0.0,0,0,Normal
Jack Russell Terrier,6.9,48.2,Female,Sable,Short,Wiry,5.0,5.0,0.0,Giant,1,Indoor_Now,Fall,0.0,0.0,33.05596172706942,76.02770865072753,24.21,51.21,26.85,53.64,29.545454545454547,14.82842388395189,49.84437450125118,0.9670098277347245,4.868039310938898,5,2.64,2.43,39.11047347835132,0,0,0,0,0.002,0,0,Normal
Golden Retriever,7.9,59.9,Male,Bicolor,Medium,Double,3.0,4.0,0.0,Giant,1,Indoor_Now,Spring,0.0,0.0,30.333291466224775,70.33245032241649,23.67,50.07,26.76,55.02,35.45454545454545,16.512792145477587,43.45426257344671,1.3784608563718366,6.513843425487346,7,3.09,4.95,39.47594844372792,0,1,1,0,0.022,0,0,Normal
Boxer,12.6,28.7,Female,Red,Short,Smooth,4.0,4.0,1.0,Large,1,Indoor_Now,Winter,0.0,0.0,10.432636095044765,64.5336563033813,19.69,48.91,21.9,53.01,32.23076923076923,15.730095277394142,33.499863260583,0.8567199148472147,4.426879659388859,4,2.21,4.1,38.94236833183432,1,0,1,0,0.052000000000000005,1,0,Normal
Alaskan Malamute,8.1,46.9,Male,Black and Tan,Medium,Double,4.0,3.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,12.887126209943766,46.9424397060304,20.18,45.39,23.49,52.22,34.63636363636363,14.87648360029225,25.10240279482684,1.8683470416491468,8.473388166596587,8,3.31,6.83,38.621379716126185,0,1,1,0,0.052000000000000005,1,0,Normal
Saint Bernard,13.6,23.1,Female,Sable,Short,Smooth,3.0,3.0,0.0,Medium,1,Outdoor_Now,Winter,1.9820207256921234,-0.8101853691483922,16.49941729725765,60.479760313559304,16.5,60.48,21.58,67.75,34.2962962962963,14.315356090088146,46.28257711380989,0.4991079028118202,2.9964316112472806,3,5.08,7.27,38.82951001992336,1,0,1,1,0.0,0,0,Normal
Jack Russell Terrier,3.1,38.2,Female,Brindle,Short,Wiry,5.0,5.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,5.038630899704948,65.6068207191956,18.61,49.12,21.11,53.23,29.545454545454547,14.82842388395189,33.532057702275445,1.13920834620918,5.55683338483672,6,2.5,4.11,38.98147059386947,0,0,0,0,0.022,0,0,Normal
Golden Retriever,9.9,38.5,Female,Tricolor,Medium,Double,3.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,13.417502820643035,56.737982510929236,20.28,47.35,23.54,52.89,35.45454545454545,16.512792145477587,58.85201412885843,0.6541832181937389,3.6167328727749557,4,3.26,5.54,38.37562728668489,0,0,0,0,0.002,0,0,Normal
Yorkshire Terrier,6.9,32.4,Female,Brindle,Long,Silky,4.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,4.587239536022596,71.27977048913912,18.52,50.26,22.36,56.69,29.471698113207548,14.228362484278883,57.7095116773601,0.561432579453116,3.245730317812464,3,3.84,6.43,38.95038300868531,0,0,0,0,0.0,0,0,Normal
Chinese Shar-Pei,5.2,37.9,Male,Brown,Short,Smooth,3.0,3.0,0.0,Large,1,Indoor_Now,Spring,0.0,0.0,20.821487721934055,80.69184758013382,21.76,52.14,23.95,53.85,38.234375,14.039334976675413,35.58720513111796,1.0649895056484695,5.259958022593878,5,2.19,1.71,38.719636246206285,0,0,0,0,0.002,0,0,Normal
Weimaraner,18.5,31.9,Male,Merle,Short,Smooth,5.0,5.0,0.0,Large,1,Indoor_Now,Spring,0.0,0.0,26.57685209971721,67.16135967435066,22.92,49.43,25.79,54.32,29.863636363636363,14.363293348121658,19.52566887585102,1.6337468489723963,7.534987395889585,8,2.87,4.89,39.791719334088384,1,1,1,0,0.052000000000000005,0,0,Normal
Saint Bernard,8.0,42.2,Female,Brindle,Short,Smooth,3.0,3.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,24.748322637140486,64.23415863683496,22.55,48.85,24.67,49.33,34.2962962962963,14.315356090088146,47.600058939810495,0.8865535240904054,4.546214096361622,5,2.12,0.48,39.45787221800116,0,0,0,0,0.002,0,0,Normal
Whippet,10.2,18.4,Female,Tricolor,Short,Smooth,4.0,4.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,24.99780672639709,65.8057956799897,22.6,49.16,24.78,50.56,32.666666666666664,15.193293197726764,39.6040551524761,0.4645988884006896,2.858395553602758,3,2.18,1.4,38.89841954612973,0,0,0,0,0.0,0,0,Normal
Saint Bernard,14.0,37.5,Male,Black,Short,Smooth,3.0,3.0,0.0,Large,0,Indoor_Now,Summer,0.0,0.0,27.267822515316414,61.478672418848184,23.05,48.3,25.02,50.77,34.2962962962963,14.315356090088146,12.6367121108363,2.9675440629721086,12.870176251888434,9,1.97,2.47,39.08691978115446,1,1,1,0,0.042,0,0,Normal
Jack Russell Terrier,7.7,27.5,Male,Red,Short,Wiry,5.0,5.0,0.0,Large,0,Indoor_Now,Summer,0.0,0.0,34.640000849152166,69.0829861806143,24.53,49.82,26.6,53.23,29.545454545454547,14.82842388395189,36.73575363126867,0.7485895151635762,3.9943580606543048,4,2.07,3.41,39.01130582240751,0,0,0,0,0.0,0,0,Normal
Vizsla,11.8,33.9,Male,Black,Short,Smooth,5.0,5.0,0.0,Large,0,Indoor_Now,Spring,0.0,0.0,22.222944760452172,55.38406972756673,22.04,47.08,24.65,51.59,29.96875,15.145819005036781,25.65585070571369,1.32133603320549,6.28534413282196,6,2.61,4.51,39.41637615698601,0,0,0,0,0.012,0,0,Normal
Bloodhound,8.8,32.3,Female,Red,Short,Smooth,3.0,3.0,0.0,Large,0,Indoor_Now,Winter,0.0,0.0,6.563461286124044,55.704167497708745,18.91,47.14,21.11,48.79,32.271186440677965,17.013007709594138,27.373878203004224,1.1799570291233028,5.719828116493211,6,2.2,1.65,38.17798005220617,0,0,0,0,0.012,0,0,Normal
Maltese,11.4,28.5,Male,Blue,Long,Silky,3.0,3.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,23.62567750624432,100.0,22.33,56.0,26.06,62.03,31.346153846153847,13.70542273583796,10.787445885766921,2.6419599506499702,11.567839802599881,9,3.73,6.03,39.66756592269162,0,1,1,1,0.052000000000000005,0,0,Normal
Lhasa Apso,9.3,20.5,Male,Black,Long,Silky,3.0,3.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,19.4609043477336,91.05418942500046,21.49,54.21,25.16,60.67,29.946428571428573,15.75080909074156,25.931168199389713,0.7905544340452223,4.162217736180889,4,3.67,6.46,38.92879926348996,0,0,0,1,0.002,0,0,Normal
Alaskan Malamute,7.9,54.6,Male,Merle,Medium,Double,4.0,3.0,0.0,Giant,1,Outdoor_Now,Fall,2.7631701298017064,-0.05598783944969249,43.97813221756424,69.93759429434216,43.98,69.94,52.38,81.73,34.63636363636363,14.87648360029225,52.238243063100285,1.0452112628299324,5.1808450513197295,5,8.4,11.79,39.74837363357413,0,0,0,1,0.002,0,0,Normal
Bloodhound,7.1,18.8,Female,Cream,Short,Smooth,3.0,3.0,0.0,Medium,1,Indoor_Now,Spring,0.0,0.0,32.986809021023944,90.05512993074511,24.2,54.01,26.16,57.28,32.271186440677965,17.013007709594138,42.933940200089936,0.43788200925384946,2.751528037015398,3,1.96,3.27,38.25385251948294,0,0,0,0,0.0,0,0,Normal
Pekingese,10.6,20.2,Female,Red,Long,Double,3.0,4.0,1.0,Medium,1,Indoor_Now,Fall,0.0,0.0,23.61758906318386,88.82928665144998,22.32,53.77,25.89,60.9,33.30882352941177,16.229011568968296,18.442359065964126,1.0953045609701662,5.381218243880665,5,3.57,7.13,39.623219611877474,0,0,1,1,0.052000000000000005,0,0,Normal
Yorkshire Terrier,2.5,25.2,Male,Sable,Long,Silky,4.0,4.0,0.0,Large,1,Outdoor_Now,Summer,4.824156446070388,-0.4394109126802285,34.164223022204055,60.52811147287187,34.16,60.53,47.23,77.87,29.471698113207548,14.228362484278883,45.50393079097911,0.5537983106504669,3.2151932426018677,3,13.07,17.34,40.1251667723467,0,0,0,1,0.0,0,1,Heat Stress
Doberman Pinscher,5.4,28.9,Female,Tan,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,13.10963886094371,63.32293950600203,20.22,48.66,22.64,52.0,30.075757575757574,16.58573122254428,54.29245808357447,0.5323022942802316,3.1292091771209263,3,2.42,3.34,39.667267969326765,0,0,0,0,0.0,0,0,Normal
Doberman Pinscher,5.4,28.9,Female,Tan,Short,Smooth,5.0,4.0,0.0,Large,0,Indoor_Now,Spring,0.0,0.0,28.742210423083257,75.63128606923202,23.35,51.13,25.82,54.82,30.075757575757574,16.58573122254428,36.973226437765135,0.7816466882771422,4.126586753108569,4,2.47,3.69,39.30240010844001,0,0,0,0,0.0,0,0,Normal
Chinese Shar-Pei,8.3,13.0,Male,Blue,Short,Smooth,3.0,3.0,0.0,Medium,0,Indoor_Now,Fall,0.0,0.0,28.26660025209161,100.0,23.25,56.0,25.04,58.4,38.234375,14.039334976675413,48.67618828201241,0.26707103532188375,2.068284141287535,2,1.79,2.4,39.17947371674871,0,0,0,0,0.0,0,0,Normal
Labrador Retriever,4.1,39.8,Male,Brindle,Short,Double,5.0,5.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,19.92847031079728,55.11964725230104,21.59,47.02,24.54,53.71,31.923076923076923,15.760270419007453,14.612630233006783,2.723671191658595,11.89468476663438,9,2.95,6.69,38.64702274319972,0,1,1,0,0.052000000000000005,0,0,Normal
Havanese,9.4,11.0,Male,Tricolor,Long,Double,3.0,5.0,0.0,Medium,0,Indoor_Now,Fall,0.0,0.0,23.99799478380761,85.14528856768372,22.4,53.03,26.3,62.01,31.563636363636363,16.215862874179983,47.04101785590187,0.23383847759620524,1.935353910384821,2,3.9,8.98,39.32546561224079,0,0,0,1,0.0,0,0,Normal
Boxer,7.7,48.1,Female,Sable,Short,Smooth,4.0,4.0,1.0,Giant,1,Indoor_Now,Winter,0.0,0.0,7.85475264813855,64.76040877637197,19.17,48.95,21.54,52.96,32.23076923076923,15.730095277394142,23.292168271105865,2.0650718061172717,9.260287224469087,9,2.37,4.01,38.55767920922476,0,1,1,0,0.102,0,0,Normal
Shetland Sheepdog,2.3,19.6,Male,Bicolor,Long,Double,4.0,5.0,0.0,Medium,1,Indoor_Now,Summer,0.0,0.0,32.198936169261266,79.72319972100655,24.04,51.94,28.1,60.79,30.2,16.467655372559502,33.06490369252566,0.5927735396498551,3.3710941585994205,3,4.06,8.85,39.72261076794395,0,0,0,1,0.0,0,0,Normal
Shetland Sheepdog,2.3,19.6,Male,Bicolor,Medium,Double,4.0,3.0,0.0,Medium,0,Outdoor_Now,Fall,2.36791763904827,-1.2295750542309747,29.374452044207253,64.70719305811437,29.37,64.71,35.94,75.64,30.2,16.467655372559502,35.522196417664745,0.5517676826496338,3.2070707305985353,3,6.57,10.93,39.62990689578263,0,0,0,1,0.0,0,0,Normal
